FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,NO_PLN,AREA_KM2,TOT_POP,TOT_HHOLD,POP_DEN,HHOLD_DEN,MID,PLN_GRID,X,Y,Longitude,Latitude
3384,NUSA TENGGARA TIMUR,ILE BOLENG,BEDALEWUN,53,09,071,002,5309071002,FLORES TIMUR,BADAN PUSAT STATISTIK,5309071,POLY,0,5309071002,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,71,ILE BOLENG,2,BEDALEWUN,235,320,152,104,47,0.684211,48,1.278659,555,152,434.0484,118.874517,0.091718,0,13717745.3715,-936867.638962,123.228603,-8.385924
3392,NUSA TENGGARA TIMUR,ILE BOLENG,LAMABAYUNG,53,09,071,016,5309071016,FLORES TIMUR,BADAN PUSAT STATISTIK,5309071,POLY,0,5309071016,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,71,ILE BOLENG,16,LAMABAYUNG,380,421,201,77,71,0.383085,124,5.071843,801,201,157.930762,39.630566,0.158849,0,13722591.3894,-932479.344571,123.272136,-8.346922
3395,NUSA TENGGARA TIMUR,ILE BOLENG,RIAWALE,53,09,071,005,5309071005,FLORES TIMUR,BADAN PUSAT STATISTIK,5309071,POLY,0,5309071005,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,71,ILE BOLENG,5,RIAWALE,141,185,85,52,21,0.611765,33,0.848311,326,85,384.293074,100.199114,0.099901,0,13719022.8242,-937384.461978,123.240079,-8.390517
3396,NUSA TENGGARA TIMUR,ILE BOLENG,DOKENG,53,09,071,018,5309071018,FLORES TIMUR,BADAN PUSAT STATISTIK,5309071,POLY,0,5309071018,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,71,ILE BOLENG,18,DOKENG,108,137,63,0,63,0,63,1.270147,245,63,192.891071,49.600561,0.14199,0,13719760.1663,-933375.02467,123.246703,-8.354883
3406,NUSA TENGGARA TIMUR,ADONARA TIMUR,GELONG,53,09,070,059,5309070059,FLORES TIMUR,BADAN PUSAT STATISTIK,5309070,POLY,0,5309070059,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,70,ADONARA TIMUR,59,GELONG,175,228,115,33,82,0.286957,82,1.827816,403,115,220.481682,62.916609,0.126072,0,13712478.087,-928838.342129,123.181286,-8.31456
3413,NUSA TENGGARA TIMUR,ADONARA TIMUR,PUHU,53,09,070,057,5309070057,FLORES TIMUR,BADAN PUSAT STATISTIK,5309070,POLY,0,5309070057,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,70,ADONARA TIMUR,57,PUHU,312,324,203,40,97,0.197044,163,1.793655,636,203,354.58315,113.176697,0.093999,0,13715349.4415,-930240.615361,123.20708,-8.327024
3414,NUSA TENGGARA TIMUR,ADONARA TIMUR,TAPOBALI,53,09,070,056,5309070056,FLORES TIMUR,BADAN PUSAT STATISTIK,5309070,POLY,0,5309070056,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,70,ADONARA TIMUR,56,TAPOBALI,249,323,168,36,99,0.214286,132,3.064547,572,168,186.650737,54.820496,0.135061,0,13713282.2908,-929961.606424,123.188511,-8.324544
3415,NUSA TENGGARA TIMUR,ADONARA TIMUR,LEWOBUNGA,53,09,070,010,5309070010,FLORES TIMUR,BADAN PUSAT STATISTIK,5309070,POLY,0,5309070010,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,70,ADONARA TIMUR,10,LEWOBUNGA,546,638,304,118,0,0.388158,186,6.386514,1184,304,185.390665,47.600306,0.144942,0,13712644.6507,-933210.66525,123.182783,-8.353422
3416,NUSA TENGGARA TIMUR,ADONARA TENGAH,WEWIT,53,09,062,009,5309062009,FLORES TIMUR,BADAN PUSAT STATISTIK,5309062,POLY,0,5309062009,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,62,ADONARA TENGAH,9,WEWIT,497,537,280,0,270,0,280,3.083373,1034,280,335.347029,90.80964,0.104938,0,13709571.9434,-925466.505061,123.15518,-8.284587
3417,NUSA TENGGARA TIMUR,ADONARA TENGAH,OE SAYANG,53,09,062,012,5309062012,FLORES TIMUR,BADAN PUSAT STATISTIK,5309062,POLY,0,5309062012,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,62,ADONARA TENGAH,12,OE SAYANG,336,360,195,0,195,0,195,3.246452,696,195,214.387862,60.065565,0.129029,0,13711344.0978,-926809.466762,123.1711,-8.296525
