PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU,SIRIMAU,URITETU,81,71,020,013,8171020013,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020013,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       13.000000,URITETU,     2082.000000,     2155.000000,     1630.000000,      942.000000,      688.000000,      0.57791411043,-214748364,     4663.000000,      0.82521739130,1150,949,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL RIJALI,81,71,020,014,8171020014,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020014,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       14.000000,KEL RIJALI,     2577.000000,     2526.000000,     1163.000000,      814.000000,      349.000000,      0.69991401548,-214748364,     6926.000000,      0.95413333333,1875,1789,AMBON,Ambon&Sera
MALUKU,SIRIMAU,KEL AMANTELU,81,71,020,015,8171020015,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020015,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       15.000000,KEL AMANTELU,     4136.000000,     4021.000000,     1290.000000,     1200.000000,       90.000000,      0.93023255814,-214748364,     7299.000000,      0.89165628892,1606,1432,AMBON,Ambon&Sera
MALUKU,SIRIMAU,BATU MERAH,81,71,020,016,8171020016,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020016,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       16.000000,BATU MERAH,    23193.000000,    27033.000000,    11640.000000,    11300.000000,      340.000000,      0.97079037801,-214748364,    58137.000000,      0.85145615701,12636,10759,AMBON,Ambon&Sera
MALUKU,SIRIMAU,PANDAN KASTURI,81,71,020,017,8171020017,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020017,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       17.000000,PANDAN KASTURI,     2448.000000,     2554.000000,     1045.000000,     1020.000000,       25.000000,      0.97607655502,-214748364,     6114.000000,      0.87234042553,1316,1148,AMBON,Ambon&Sera
MALUKU,SIRIMAU,HATIVE KECIL,81,71,020,018,8171020018,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020018,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       18.000000,HATIVE KECIL,     4807.000000,     4550.000000,     1871.000000,     1800.000000,       71.000000,      0.96205237841,-214748364,     9175.000000,      0.85528292439,1997,1708,AMBON,Ambon&Sera
MALUKU,SIRIMAU,GALALA,81,71,020,019,8171020019,AMBON,BADAN PUSAT STATISTIK,8171020,POLY,0,8171020019,       81.000000,MALUKU,       71.000000,AMBON,       20.000000,SIRIMAU,       19.000000,GALALA,      661.000000,      684.000000,      353.000000,      303.000000,       50.000000,      0.85835694051,-214748364,     1452.000000,      0.99416909621,343,341,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL KUDAMATI,81,71,010,008,8171010008,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010008,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        8.000000,KEL KUDAMATI,     8389.000000,     8597.000000,     3831.000000,     3242.000000,      589.000000,      0.84625424171,-214748364,    15139.000000,      0.95638432364,3164,3026,AMBON,Ambon&Sera
MALUKU,NUSANIWE,URIMESING,81,71,010,009,8171010009,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010009,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        9.000000,URIMESING,     3355.000000,     3356.000000,     1514.000000,     1482.000000,       32.000000,      0.97886393659,-214748364,     7428.000000,      0.81812035159,1479,1210,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL URIMESING,81,71,010,011,8171010011,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010011,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,       11.000000,KEL URIMESING,     1496.000000,     1535.000000,      688.000000,      642.000000,       46.000000,      0.93313953488,-214748364,     3042.000000,      0.92582781457,755,699,AMBON,Ambon&Sera
