PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU UTARA,PULAU MAKIAN,DALAM,82,04,070,019,8204070019,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204070,POLY,8204070019,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       70.000000,PULAU MAKIAN,       19.000000,DALAM,      205.000000,      203.000000,       94.000000,        0.000000,       80.000000,      0.00000000000,-214748364,406,      0.00000000000,87,0,Ternate,Halmahera
MALUKU UTARA,KAYOA BARAT,HATEJAWA,82,04,061,002,8204061002,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204061,POLY,8204061002,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       61.000000,KAYOA BARAT,        2.000000,HATEJAWA,      216.000000,      217.000000,      104.000000,        0.000000,       22.000000,      0.00000000000,-214748364,437,      0.01428571429,70,1,Ternate,Halmahera
MALUKU UTARA,KAYOA BARAT,BOKIMIAKE,82,04,061,001,8204061001,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204061,POLY,8204061001,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       61.000000,KAYOA BARAT,        1.000000,BOKIMIAKE,      328.000000,      325.000000,      133.000000,        0.000000,       27.000000,      0.00000000000,-214748364,649,      0.00000000000,105,0,Ternate,Halmahera
MALUKU UTARA,KAYOA BARAT,BUSUA,82,04,061,003,8204061003,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204061,POLY,8204061003,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       61.000000,KAYOA BARAT,        3.000000,BUSUA,     1091.000000,     1032.000000,      506.000000,        0.000000,      203.000000,      0.00000000000,-214748364,2106,      0.00862068966,348,3,Ternate,Halmahera
MALUKU UTARA,KAYOA,KIDA,82,04,060,005,8204060005,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060005,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,        5.000000,KIDA,       74.000000,       76.000000,       52.000000,        0.000000,       52.000000,      0.00000000000,-214748364,150,      0.00000000000,35,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,LIGUA,82,04,060,004,8204060004,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060004,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,        4.000000,LIGUA,       42.000000,       37.000000,       33.000000,        0.000000,       33.000000,      0.00000000000,-214748364,79,      0.00000000000,17,0,Ternate,Halmahera
MALUKU UTARA,KAYOA SELATAN,SAGAWELE,82,04,062,001,8204062001,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062001,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        1.000000,SAGAWELE,      414.000000,      427.000000,      242.000000,        0.000000,      242.000000,      0.00000000000,-214748364,844,      0.00000000000,155,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,BULI,82,04,060,006,8204060006,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060006,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,        6.000000,BULI,      160.000000,      143.000000,      114.000000,        0.000000,      114.000000,      0.00000000000,-214748364,303,      0.08333333333,60,5,Ternate,Halmahera
MALUKU UTARA,KAYOA SELATAN,POSI POSI,82,04,062,002,8204062002,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062002,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        2.000000,POSI POSI,      484.000000,      477.000000,      230.000000,        0.000000,      230.000000,      0.00000000000,-214748364,964,      0.00000000000,151,0,Ternate,Halmahera
MALUKU UTARA,KAYOA SELATAN,ORIMAKURUNGA,82,04,062,006,8204062006,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062006,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        6.000000,ORIMAKURUNGA,      532.000000,      547.000000,      352.000000,        0.000000,       35.000000,      0.00000000000,-214748364,1078,      0.00000000000,200,0,Ternate,Halmahera
MALUKU UTARA,KAYOA SELATAN,LALUIN,82,04,062,004,8204062004,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062004,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        4.000000,LALUIN,     1184.000000,     1128.000000,      474.000000,        0.000000,      474.000000,      0.00000000000,-214748364,2307,      0.00835654596,359,3,Ternate,Halmahera
MALUKU UTARA,KAYOA,LELEI,82,04,060,011,8204060011,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060011,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       11.000000,LELEI,      341.000000,      341.000000,      215.000000,        0.000000,      215.000000,      0.00000000000,-214748364,692,      0.00000000000,129,0,Ternate,Halmahera
MALUKU UTARA,KAYOA SELATAN,PASIR PUTIH,82,04,062,005,8204062005,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062005,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        5.000000,PASIR PUTIH,      136.000000,      146.000000,       98.000000,        0.000000,       98.000000,      0.00000000000,-214748364,283,      0.00000000000,52,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,TALIMAU,82,04,060,012,8204060012,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060012,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       12.000000,TALIMAU,      337.000000,      371.000000,      188.000000,        0.000000,      188.000000,      0.00000000000,-214748364,710,      0.00000000000,139,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,DOROLAMO,82,04,060,027,8204060027,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060027,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       27.000000,DOROLAMO,       64.000000,       56.000000,       46.000000,        0.000000,       46.000000,      0.00000000000,-214748364,122,      0.00000000000,22,0,Ternate,Halmahera
