FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
28,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FALAHU,82,3,20,23,8203020023,KEPULAUAN SULA,BADAN PUSAT STATISTIK,738,816,588,474,110,0.806122,1555,0.853659,328,280,0.953947,1,1555,0.953947,125.981347,-2.061348,831686,9771847
29,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,FAGUDU,82,3,20,24,8203020024,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1443,1368,568,495,70,0.871479,2812,0.841818,550,463,0.953947,1,2812,0.953947,125.979462,-2.058148,831477,9772202
30,50102,"EKSA ANUGRAH MANDIRI, PT.",FOGI,20070813,953947.493,MALUKU UTARA,SANANA,MANGON,82,3,20,25,8203020025,KEPULAUAN SULA,BADAN PUSAT STATISTIK,2022,2044,1025,690,330,0.673171,4058,0.811245,747,606,0.953947,1,4058,0.953947,125.980891,-2.054564,831637,9772598
31,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,73873.93345,MALUKU UTARA,SANANA,WAIBAU,82,3,20,26,8203020026,KEPULAUAN SULA,BADAN PUSAT STATISTIK,764,765,350,240,107,0.685714,1513,0.783688,282,221,0.073874,1,1513,0.073874,125.968802,-2.054053,830291,9772658
32,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,9884.631002,MALUKU UTARA,SULA BESI TENGAH,BEGA,82,3,21,1,8203021001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,542,562,225,200,20,0.888889,1095,0.553991,213,118,0.009885,0.166853,183,0.059242,126.022707,-2.315438,836235,9743715
33,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,4176.409903,MALUKU UTARA,SULA BESI TENGAH,BEGA,82,3,21,1,8203021001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,542,562,225,200,20,0.888889,1095,0.553991,213,118,0.004176,0.070498,77,0.059242,126.022523,-2.314341,836215,9743836
34,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,45180.59447,MALUKU UTARA,SULA BESI TENGAH,BEGA,82,3,21,1,8203021001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,542,562,225,200,20,0.888889,1095,0.553991,213,118,0.045181,0.762649,835,0.059242,126.021053,-2.310452,836052,9744267
35,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,57772.69174,MALUKU UTARA,SULA BESI TENGAH,FAT-IBA,82,3,21,2,8203021002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,492,512,237,215,22,0.907173,991,0.759259,162,123,0.057773,0.909575,901,0.063516,126.003832,-2.265728,834145,9749221
36,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5743.430736,MALUKU UTARA,SULA BESI TENGAH,FAT-IBA,82,3,21,2,8203021002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,492,512,237,215,22,0.907173,991,0.759259,162,123,0.005743,0.090425,90,0.063516,126.00044,-2.261651,833769,9749673
37,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,10436.2072,MALUKU UTARA,SULA BESI TENGAH,WAIMAN,82,3,21,3,8203021003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,377,375,151,144,7,0.953642,718,0.691057,123,85,0.010436,0.391022,281,0.02669,125.977561,-2.217891,831231,9754522
38,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,16253.3646,MALUKU UTARA,SULA BESI TENGAH,WAIMAN,82,3,21,3,8203021003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,377,375,151,144,7,0.953642,718,0.691057,123,85,0.016253,0.608978,437,0.02669,125.976783,-2.215962,831145,9754736
39,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,62535.127,MALUKU UTARA,SULA BESI TENGAH,WAI BOGA,82,3,21,5,8203021005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1139,1121,515,420,95,0.815534,2234,0.834452,447,373,0.062535,0.23075,515,0.271008,125.968863,-2.197214,830267,9756812
